Account,date,daily_pnl,win_rate,avg_trade_size,trade_count,avg_leverage,long_short_ratio,classification,leverage_segment,activity_segment,consistency_segment,profit_flag
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,0.461038961038961,315.52253246753247,154,315.52253246753247,-0.4157303324075244,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,0.5025906735751295,247.12725388601035,193,247.12725388601035,-0.23913043218336488,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,0.5214285714285715,140.36935714285713,140,140.36935714285713,-0.7582417499094314,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,0.47435897435897434,92.37217948717948,78,92.37217948717948,-0.9999999818181822,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,0.5357142857142857,165.78285714285715,112,165.78285714285715,-0.9999999795918372,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,0.4897959183673469,259.2459183673469,98,259.2459183673469,-0.7727272551652897,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,0.2318840579710145,129.80536231884057,69,129.80536231884057,-0.8775510024989592,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,0.4186046511627907,159.67825581395348,86,159.67825581395348,-0.9999999807692311,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,0.4215686274509804,77.67176470588235,102,77.67176470588235,-0.9999999857142859,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,0.5915492957746479,88.1318309859155,213,88.1318309859155,-0.9999999932885907,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,0.6751592356687898,119.62222929936306,157,119.62222929936306,-0.9999999923076924,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,0.34408602150537637,124.41204301075268,93,124.41204301075268,-0.47222221566358036,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,0.5578231292517006,150.14530612244897,147,150.14530612244897,-0.8630136868080317,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,0.45806451612903226,88.59193548387097,155,88.59193548387097,-0.9999999861111113,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,0.7727272727272727,187.5361038961039,154,187.5361038961039,-0.9148935975554554,Extreme Greed,Low,High,Consistent,1
